state,policy_type,start_date,stop_date
RI,Allow Expand Medicaid Telehealth Coverage,3/18/20,
KY,Suspended Elective Medical Dental Procedures,3/18/20,
WA,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/18/20,
IN,Order Freezing Utility Shut Offs,3/19/20,
CO,Non-Essential Businesses,3/19/20,
TX,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/19/20,
NM,Order Freezing Utility Shut Offs,3/19/20,
MS,Suspended Elective Medical Dental Procedures,3/19/20,
AL,Nursing Homes,3/19/20,
NC,Order Freezing Utility Shut Offs,3/19/20,
VA,Allow Audio Only Telehealth,3/19/20,
AL,Suspended Elective Medical Dental Procedures,3/19/20,
CT,Reopened ACA Enrollment Using a Special Enrollment Period,3/19/20,
AK,Suspended Elective Medical Dental Procedures,3/19/20,
DC,Allow Audio Only Telehealth,3/19/20,
LA,Suspended Elective Medical Dental Procedures,3/19/20,
NJ,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/19/20,
IL,Allow Expand Medicaid Telehealth Coverage,3/19/20,
CA,Suspended Elective Medical Dental Procedures,3/19/20,
VA,Allow Expand Medicaid Telehealth Coverage,3/19/20,
OH,Allow Audio Only Telehealth,3/19/20,
IL,Allow Audio Only Telehealth,3/19/20,
RI,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/19/20,
CT,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/20/20,
ND,Allow Audio Only Telehealth,3/20/20,
GU,Shelter in Place,3/20/20,5/10/20
VI,Shelter in Place,3/20/20,5/4/20
MT,Order Freezing Utility Shut Offs,3/20/20,
ME,Allow Expand Medicaid Telehealth Coverage,3/20/20,
MS,Childcare (K-12),3/20/20,
ND,Gyms,3/20/20,
CA,Reopened ACA Enrollment Using a Special Enrollment Period,3/20/20,
ME,Allow Audio Only Telehealth,3/20/20,
ND,Non-Essential Businesses,3/20/20,
CO,Food and Drink,3/20/20,8/28/20
VT,Allow Audio Only Telehealth,3/20/20,
PA,Allow Expand Medicaid Telehealth Coverage,3/20/20,
NY,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/20/20,
CO,Allow Expand Medicaid Telehealth Coverage,3/20/20,
ND,Allow Expand Medicaid Telehealth Coverage,3/20/20,
TX,Gyms,3/21/20,
IL,Outdoor and Recreation,3/21/20,5/30/20
IL,Gyms,3/21/20,
AZ,Gyms,3/21/20,
IL,Shelter in Place,3/21/20,5/29/20
IL,Food and Drink,3/21/20,5/30/20
NY,Shelter in Place,3/22/20,5/28/20
VI,Food and Drink,3/23/20,
VI,Non-Essential Businesses,3/23/20,5/4/20
MO,Nursing Homes,3/23/20,
NJ,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
MA,Day Care,3/23/20,
MS,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
WA,Shelter in Place,3/23/20,5/31/20
IN,Manufacturing,3/23/20,5/4/20
IN,Houses of Worship,3/23/20,7/3/20
LA,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
OR,Shelter in Place,3/23/20,5/15/20
OH,Shelter in Place,3/23/20,5/29/20
VT,Gyms,3/23/20,
IN,Phase 1,3/23/20,5/4/20
NM,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
AL,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
CA,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
NC,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
CT,Childcare (K-12),3/23/20,5/20/20
CT,Houses of Worship,3/23/20,5/20/20
TN,Nursing Homes,3/23/20,
RI,Gyms,3/23/20,
CA,Childcare (K-12),3/23/20,
MI,Shelter in Place,3/24/20,5/28/20
TN,Suspended Elective Medical Dental Procedures,3/24/20,
OR,Gyms,3/24/20,
SD,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/24/20,
OK,Nursing Homes,3/24/20,
OK,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/24/20,
NM,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/24/20,
DE,Order Freezing Utility Shut Offs,3/24/20,
MS,Nursing Homes,3/24/20,
OK,Suspended Elective Medical Dental Procedures,3/24/20,
MD,Suspended Elective Medical Dental Procedures,3/24/20,
MN,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/24/20,
WI,Shelter in Place,3/25/20,5/13/20
WA,Allow Audio Only Telehealth,3/25/20,
KY,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/25/20,
NC,Nursing Homes,3/25/20,
VA,Gyms,3/25/20,
ME,Gyms,3/25/20,
WI,Gyms,3/25/20,
HI,Gyms,3/25/20,
VT,Shelter in Place,3/25/20,5/15/20
AZ,Allow Audio Only Telehealth,3/25/20,
IN,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/25/20,
MO,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/25/20,
AZ,Allow Expand Medicaid Telehealth Coverage,3/25/20,
WA,Allow Expand Medicaid Telehealth Coverage,3/25/20,
HI,Shelter in Place,3/25/20,5/31/20
KY,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/25/20,
IA,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/25/20,
UT,Suspended Elective Medical Dental Procedures,3/25/20,
DE,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/25/20,
MA,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/26/20,
MN,Entertainment,3/26/20,6/9/20
MD,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/26/20,
CO,Shelter in Place,3/26/20,4/26/20
MN,Non-Essential Businesses,3/26/20,6/9/20
ID,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/26/20,
MN,Food and Drink,3/26/20,6/9/20
MN,Outdoor and Recreation,3/26/20,6/9/20
DE,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/27/20,
NJ,Suspended Elective Medical Dental Procedures,3/27/20,
MN,Shelter in Place,3/27/20,5/17/20
WI,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/27/20,
CA,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/27/20,
IA,Suspended Elective Medical Dental Procedures,3/27/20,
WY,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/27/20,
IA,Order Freezing Utility Shut Offs,3/27/20,
CT,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/27/20,
NH,Shelter in Place,3/27/20,5/31/20
NM,Suspended Elective Medical Dental Procedures,3/27/20,
NH,Gyms,3/28/20,
PA,Shelter in Place,3/28/20,5/8/20
RI,Shelter in Place,3/28/20,5/8/20
MN,Allow Expand Medicaid Telehealth Coverage,3/28/20,
MT,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/30/20,
SC,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/30/20,
MD,Day Care,3/30/20,
VI,Outdoor and Recreation,3/30/20,7/5/20
KS,Gyms,3/30/20,
MT,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/30/20,
HI,Allow Expand Medicaid Telehealth Coverage,3/30/20,
VT,Allow Expand Medicaid Telehealth Coverage,3/30/20,
TN,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/30/20,
VA,Shelter in Place,3/30/20,6/10/20
WV,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/30/20,
KS,Shelter in Place,3/30/20,5/4/20
MP,Shelter in Place,3/30/20,5/1/20
TX,Shelter in Place,3/31/20,4/30/20
AZ,Shelter in Place,3/31/20,5/31/20
AZ,Food and Drink,3/31/20,7/27/20
TN,Order Freezing Utility Shut Offs,3/31/20,
AZ,Entertainment,3/31/20,7/27/20
AZ,Outdoor and Recreation,3/31/20,8/10/20
AZ,Non-Essential Businesses,3/31/20,7/27/20
MS,Personal Care,4/1/20,6/15/20
WV,Suspended Elective Medical Dental Procedures,4/1/20,
KS,Allow Expand Medicaid Telehealth Coverage,4/1/20,
DC,Shelter in Place,4/1/20,6/8/20
CO,Allow Audio Only Telehealth,4/1/20,
UT,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,4/1/20,
GA,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/1/20,
MD,Reopened ACA Enrollment Using a Special Enrollment Period,4/1/20,
OR,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,4/1/20,
ME,Shelter in Place,4/2/20,5/31/20
AK,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/2/20,
FL,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,4/2/20,
NE,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/2/20,
CT,Mask Mandate,8/14/20,
MS,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,4/3/20,
NE,Suspended Elective Medical Dental Procedures,4/3/20,
FL,Shelter in Place,4/3/20,5/4/20
AL,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,4/3/20,
GA,Nursing Homes,4/3/20,
MD,Nursing Homes,4/5/20,
SD,Suspended Elective Medical Dental Procedures,4/6/20,
NV,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/7/20,
NJ,Mask Mandate,7/8/20,
AK,Order Freezing Utility Shut Offs,4/9/20,
UT,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/10/20,
UT,Mask Mandate,7/10/20,12/31/20
NJ,Order Freezing Utility Shut Offs,4/13/20,
HI,Allow Audio Only Telehealth,4/15/20,
HI,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,4/16/20,
MN,Allow Audio Only Telehealth,4/16/20,
MD,Mask Mandate,4/18/20,
VT,Non-Essential Businesses,4/20/20,6/15/20
MA,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,4/20/20,
KY,Phase 1,4/21/20,5/6/20
GA,Personal Care,4/23/20,
GA,Phase 1,4/23/20,
IL,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,4/23/20,
GA,Manufacturing,4/23/20,9/30/20
GA,Childcare (K-12),4/23/20,9/30/20
OK,Phase 1,4/24/20,
AK,Mask Mandate,4/24/20,
MT,Houses of Worship,4/26/20,6/1/20
MT,New Phase,4/26/20,6/1/20
MS,Phase 1,4/27/20,5/11/20
TN,New Phase,4/27/20,
GA,Mask Mandate,8/16/20,9/30/20
SD,New Phase,4/28/20,
DE,Mask Mandate,5/1/20,
NM,Personal Care,4/30/20,5/15/20
CO,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,4/30/20,
TX,Food and Drink,5/1/20,5/18/20
IL,Non-Essential Businesses,5/1/20,
ME,Non-Essential Businesses,5/1/20,6/30/20
TX,Entertainment,5/1/20,5/18/20
TX,Non-Essential Businesses,5/1/20,5/18/20
ND,Entertainment,5/1/20,
VT,Food and Drink,5/1/20,9/15/20
ID,New Phase,5/1/20,6/12/20
IN,Mask Mandate,7/27/20,8/26/20
TX,Outdoor and Recreation,5/1/20,5/18/20
OH,Non-Essential Businesses,5/1/20,
LA,Mask Mandate,7/13/20,9/11/20
WY,Mask Mandate,5/1/20,
ME,Entertainment,5/1/20,5/31/20
ND,Food and Drink,5/1/20,
ME,Outdoor and Recreation,5/1/20,6/30/20
OH,Food and Drink,5/1/20,7/1/20
ID,Personal Care,5/1/20,6/12/20
OH,Outdoor and Recreation,5/1/20,7/31/20
KS,Entertainment,5/4/20,6/7/20
WV,Mask Mandate,7/7/20,
SC,New Phase,5/4/20,
SC,Childcare (K-12),5/4/20,
FL,Food and Drink,5/4/20,
IN,Childcare (K-12),5/4/20,7/17/20
FL,Entertainment,5/4/20,
NE,New Phase,5/4/20,5/31/20
NE,Mask Mandate,5/4/20,12/31/20
KS,Non-Essential Businesses,5/4/20,6/7/20
KS,Outdoor and Recreation,5/4/20,6/7/20
NE,Childcare (K-12),5/4/20,12/31/20
SC,Day Care,5/4/20,
NH,Outdoor and Recreation,5/4/20,
KS,Food and Drink,5/4/20,6/22/20
FL,Medical,5/4/20,
MO,Phase 1,5/4/20,5/31/20
IN,Phase 2,5/4/20,6/1/20
AR,Non-Essential Businesses,5/4/20,
AR,Gyms,5/4/20,
FL,Gyms,5/4/20,
NE,Personal Care,5/4/20,5/31/20
FL,Non-Essential Businesses,5/4/20,
VI,Entertainment,5/4/20,
WA,Entertainment,5/5/20,
WA,Food and Drink,5/5/20,7/3/20
CA,Mask Mandate,6/18/20,
WA,Outdoor and Recreation,5/5/20,
WA,Non-Essential Businesses,5/5/20,
MA,Mask Mandate,5/6/20,
NM,Mask Mandate,7/13/20,8/28/20
TN,Personal Care,5/6/20,
KY,Phase 2,5/7/20,6/30/20
HI,Food and Drink,5/7/20,
PA,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,5/7/20,
HI,Entertainment,5/7/20,
MS,Phase 2,5/7/20,6/1/20
VT,Outdoor and Recreation,5/7/20,5/15/20
MS,Mask Mandate,8/5/20,8/31/20
AK,Personal Care,5/8/20,
NC,Personal Care,5/8/20,6/26/20
NC,Childcare (K-12),5/8/20,5/22/20
AK,Phase 2,5/8/20,
NC,Day Care,5/8/20,5/22/20
CA,Phase 2,5/8/20,
NC,Phase 1,5/8/20,5/22/20
CA,Personal Care,5/8/20,
RI,Food and Drink,5/9/20,9/6/20
NV,Personal Care,5/9/20,
RI,Outdoor and Recreation,5/9/20,8/28/20
RI,Entertainment,5/9/20,8/28/20
KY,Houses of Worship,5/9/20,8/9/20
NV,Mask Mandate,6/26/20,
NV,Phase 1,5/9/20,
RI,Non-Essential Businesses,5/9/20,8/28/20
AR,Food and Drink,5/11/20,
AL,Personal Care,5/11/20,7/3/20
WI,Food and Drink,5/11/20,11/6/20
KY,Mask Mandate,7/10/20,8/9/20
WI,Outdoor and Recreation,5/11/20,11/6/20
NH,Non-Essential Businesses,5/11/20,
WI,Entertainment,5/11/20,11/6/20
KY,Manufacturing,5/11/20,8/9/20
AL,Phase 1,5/11/20,5/22/20
WI,Non-Essential Businesses,5/11/20,11/6/20
NH,Entertainment,5/11/20,
AL,Mask Mandate,7/16/20,11/8/20
MI,Food and Drink,5/14/20,9/7/20
MI,Non-Essential Businesses,5/14/20,
MI,Outdoor and Recreation,5/14/20,
VT,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,5/14/20,
LA,Houses of Worship,5/15/20,8/7/20
OR,Entertainment,5/15/20,12/2/20
LA,Personal Care,5/15/20,6/26/20
LA,Phase 1,5/15/20,6/5/20
VT,Entertainment,5/15/20,6/15/20
WY,New Phase,5/15/20,6/15/20
OR,Non-Essential Businesses,5/15/20,12/2/20
OR,Food and Drink,5/15/20,12/2/20
IA,Phase 1,5/15/20,5/27/20
OR,Outdoor and Recreation,5/15/20,12/2/20
DE,New Phase,5/15/20,
OK,Phase 2,5/15/20,
OK,Houses of Worship,5/15/20,
NM,Phase 1,5/16/20,
ID,Phase 2,5/16/20,5/29/20
HI,Outdoor and Recreation,5/18/20,
SC,Personal Care,5/18/20,
HI,Non-Essential Businesses,5/18/20,
AR,Entertainment,5/18/20,
MA,Houses of Worship,5/18/20,
NH,Food and Drink,5/18/20,6/15/20
AR,Outdoor and Recreation,5/18/20,
MA,Childcare (K-12),5/18/20,
MA,Manufacturing,5/18/20,
VA,Outdoor and Recreation,5/19/20,
CT,Phase 1,5/20/20,6/20/20
OH,Entertainment,5/20/20,7/1/20
NC,Phase 2,5/22/20,10/2/20
IN,Phase 3,5/22/20,6/30/20
AK,Phase 3,5/22/20,
AK,New Phase,5/22/20,
AK,libraries,5/22/20,
AL,Phase 2,5/22/20,10/2/20
AK,Houses of Worship,5/22/20,
NC,Houses of Worship,5/22/20,6/26/20
AL,Childcare (K-12),5/23/20,11/8/20
AL,Day Care,5/23/20,11/8/20
DE,Houses of Worship,5/23/20,
KY,Personal Care,5/25/20,
WV,New Phase,5/26/20,
UT,Personal Care,5/27/20,6/5/20
UT,Houses of Worship,5/27/20,6/5/20
UT,Manufacturing,5/27/20,6/5/20
UT,New Phase,5/27/20,6/5/20
UT,Childcare (K-12),5/27/20,11/23/20
IA,Phase 2,5/28/20,6/25/20
IA,Childcare (K-12),5/28/20,6/25/20
IA,Personal Care,5/28/20,6/17/20
IA,Houses of Worship,5/28/20,6/25/20
IL,Entertainment,5/29/20,12/31/20
NV,Houses of Worship,5/29/20,
NV,Childcare (K-12),5/29/20,
NV,Phase 2,5/29/20,
GU,Entertainment,5/30/20,6/29/20
ID,Manufacturing,5/30/20,6/12/20
ID,Childcare (K-12),5/30/20,6/12/20
ID,Houses of Worship,5/30/20,6/12/20
GU,Non-Essential Businesses,5/30/20,6/29/20
GU,Food and Drink,5/30/20,6/29/20
OK,Phase 3,6/1/20,
MS,Phase 3,6/1/20,8/17/20
MO,Manufacturing,6/1/20,6/15/20
MI,Phase 4,6/1/20,6/29/20
MO,Personal Care,6/1/20,6/15/20
NM,Houses of Worship,6/1/20,9/18/20
ME,Food and Drink,6/1/20,6/30/20
MA,Phase 2,6/1/20,
NE,Houses of Worship,6/1/20,12/31/20
VI,Phase 4,6/1/20,
NE,Phase 1,6/1/20,
MO,Childcare (K-12),6/1/20,6/15/20
MO,Phase 2,6/1/20,6/15/20
WY,Personal Care,6/1/20,6/15/20
MO,Houses of Worship,6/1/20,6/15/20
CT,Day Care,6/2/20,
MI,Entertainment,6/4/20,8/5/20
LA,Phase 2,6/5/20,9/11/20
CT,Education,6/5/20,
VA,Non-Essential Businesses,6/5/20,
VA,Food and Drink,6/5/20,
CO,Outdoor and Recreation,6/5/20,7/1/20
DE,Phase 1,6/6/20,7/6/20
KY,Childcare (K-12),6/8/20,8/10/20
KY,Day Care,6/8/20,8/9/20
WV,Phase 2,6/8/20,
MD,Manufacturing,6/10/20,
MD,Houses of Worship,6/10/20,
PA,Outdoor and Recreation,6/10/20,
MD,Phase 2,6/11/20,
NM,Day Care,6/12/20,8/28/20
IN,Day Care,6/12/20,7/3/20
IA,Phase 3,6/12/20,6/25/20
NM,Childcare (K-12),6/12/20,8/28/20
IA,Day Care,6/12/20,6/25/20
PA,Non-Essential Businesses,6/13/20,
ID,Mask Mandate,6/13/20,
ID,Day Care,6/13/20,
NJ,Day Care,6/15/20,
NJ,Manufacturing,6/15/20,
WY,Public Gatherings,6/15/20,6/30/20
NJ,Childcare (K-12),6/15/20,
DE,Day Care,6/15/20,
NJ,Houses of Worship,6/15/20,
DE,Manufacturing,6/15/20,
WY,Day Care,6/15/20,7/31/20
DE,Phase 2,6/15/20,9/5/20
WY,Childcare (K-12),6/15/20,7/31/20
NJ,Personal Care,6/15/20,
NJ,New Phase,6/15/20,
NJ,Phase 2,6/15/20,
DE,Personal Care,6/15/20,
DE,Childcare (K-12),6/15/20,
NY,Non-Essential Businesses,6/16/20,6/30/20
CT,Phase 2,6/16/20,
NY,Food and Drink,6/16/20,6/30/20
CO,Alternative Care Facilities ,6/18/20,7/18/20
NJ,Nursing Homes,6/19/20,
CO,State of Emergency/Funds,6/19/20,7/19/20
CO,Executive Order,6/20/20,7/20/20
KS,Allow Audio Only Telehealth,6/22/20,
DC,Entertainment,6/22/20,
WV,Day camps/overnight camps,6/22/20,
WV,Day Care,6/22/20,
DC,Outdoor and Recreation,6/22/20,
NE,Phase 3,6/22/20,11/30/20
DC,Food and Drink,6/22/20,
DC,Non-Essential Businesses,6/22/20,
NY,Travel,6/25/20,
NC,Mask Mandate,6/26/20,10/2/20
SD,Phase 3,6/26/20,12/30/20
NC,Manufacturing,6/26/20,
IL,Phase 4,6/26/20,
DE,Phase 3,6/29/20,
NY,Phase 4,6/30/20,
NY,Entertainment,6/30/20,
NY,Outdoor and Recreation,6/30/20,
WY,Phase 3,7/1/20,8/31/20
CO,Residential Overnight Camps,7/1/20,
TN,Mask Mandate,7/3/20,8/3/20
NE,Day Care,7/6/20,
MA,Phase 3,7/6/20,
UT,Health Risk Status,7/10/20,7/24/20
LA,Childcare (K-12),7/13/20,8/7/20
LA,Day Care,7/13/20,8/7/20
MT,Mask Mandate,7/15/20,
PR,Day Care,7/16/20,
PR,Phase 1,7/16/20,
PA,Entertainment,7/16/20,
PA,Food and Drink,7/16/20,
PA,Gyms,7/16/20,
OH,Travel,7/22/20,
LA,Manufacturing,7/24/20,8/7/20
WV,Colleges & Universities,7/24/20,
NM,Manufacturing,7/30/20,8/28/20
OH,Gatherings,7/30/20,
MI,Gatherings,7/31/20,
TN,Childcare (K-12),7/31/20,
GA,New Phase,8/1/20,8/15/20
SC,Mask Mandate,8/3/20,
WV,Nursing Homes,8/13/20,
VT,Gatherings,8/14/20,9/15/20
GA,Phase 2,8/16/20,8/31/20
TN,Phase 2,8/29/20,9/30/20
NM,Phase 2,9/4/20,10/16/20
MP,Entertainment,9/7/20,
MP,Outdoor and Recreation,9/7/20,
MP,Non-Essential Businesses,9/7/20,
MP,Food and Drink,9/7/20,
MP,Phase 4,9/7/20,
WV,Childcare (K-12),9/8/20,
MS,Houses of Worship,9/14/20,9/30/20
GA,Houses of Worship,9/16/20,9/30/20
GA,Day Care,9/16/20,9/30/20
MD,Phase 3,9/21/20,
AL,Houses of Worship,9/30/20,11/8/20
CT,Phase 3,10/8/20,
ID,Phase 3,10/27/20,
IA,Mask Mandate,11/16/20,
NE,Phase 2,12/3/20,12/31/20
